name,ring,quadrant,isNew,description,wasUpdated
"Flyway",adopt,"Tools",true,"Our default tool for migrating database schemas.",false
"WSL 2",adopt,"Tools",true,"Windows Subsystem for Linux should be installed on every development machine",false
"SignalR",adopt,"Tools",true,"<a href='https://docs.microsoft.com/en-us/aspnet/core/signalr/introduction?view=aspnetcore-5.0'>SignalR</a> is our default choice for push-functionality.",false
"Hashicorp Vault",adopt,"Tools",true,"We recommend <a href='https://www.vaultproject.io/'>Hashicorp Vault</a> for storing secrets.",false
"Keepass files in GitHub",hold,"Tools",true,"Use a password manager (or Vault) instead.",false
"Docker",adopt,"Tools",true,"Docker should be used as the default containerisation technology. Used for building, testing and deployment.",false
"gRPC",trial,"Tools",true,"<a href='https://grpc.io/'>gRPC</a> is a high-performance RPC framework which we may investigate for high-volume data collection (for example, SQL Monitor).",false
"Snyk",adopt,"Tools",true,"We use Snyk to scan for known vulnerabilities in our products' dependencies.",false
"DocFx",trial,"Tools",true,"<a href='https://dotnet.github.io/docfx/'>DocFX</a> is an extensible and scalable static documentation generator. We're experimenting with it for the <a href='https://progression.red-gate.com'>web version of the progression framework</a>. Could this be a future solution to host our documentation too?",false
"Makefiles",assess,"Tools",true,"Should we fall back to using Makefiles as part of a simpler build process? Again, this is part of our desire to simplify our build process.",false
"Cake",assess,"Tools",true,"<a href='https://cakebuild.net/'>Cake</a> is a free and OSS cross-platform build automation system with a C# DSL.",false
"Bazel",assess,"Tools",true,"<a href='https://bazel.build/'>Bazel</a> is a build/test tool similar to Make/Maven/Gradle.",false
"Earthly",assess,"Tools",true,"<a href='https://earthly.dev/'>Earthly</a> is a syntax for defining your build leading to repeatable and understable builds. ",false
"Feature Flagging vendors (Launch Darkly?)",assess,"Tools",true,"If your usage of feature flagging becomes sufficiently complicated then it's time to investigate third-party vendors.",false
"Virtualbox based Vagrant boxes",hold,"Tools",true,"Use Docker instead where possible. UI and manual testing may still use Virtualbox.",false
"Flux 2",trial,"Tools",true,"<a href='https://fluxcd.io/'>Flux</a> is an implementation of GitOps for Kuberenetes",false
"Redgate Platform",adopt,"Platforms",true,"All new applications should be built on the Redgate Platform.",false
"Kubernetes",adopt,"Platforms",true,"<a href='https://kubernetes.io/'>K8S</a> is the undeniable winner of orchestration tools.",false
"SQL Server as backing store",adopt,"Platforms",true,"When a product needs to store more complex data than it can fit in a flat file, we ask the customer for a SQL DB.",false
"PostgreSQL as backing store",trial,"Platforms",true,"If there's a very good reason to use a lightweight/free database engine, we should choose Postgres.",false
"Windows",adopt,"Platforms",true,"Windows must be one of our supported target platforms.",false
"Linux x64 (.NET supported versions)",adopt,"Platforms",true,"Linux must be one of our supported target platforms.",false
"macOS",adopt,"Platforms",true,"MacOS must be one of our supported target platforms.",false
"Virtual Machines",hold,"Platforms",true,"Prefer using lightweight Docker containers.",false
"CLIs",adopt,"Techniques",true,"Product should, where possible, expose funtionality via a CLI.",false
"RESTful APIs",adopt,"Techniques",true,"A REST architetural style is our default choice for building web APIs. Deviations can be made when it makes sense to do so.",false
"Containerised products",assess,"Techniques",true,"Where possible, all new products should be built to be containerised. We should ship the Mac/Linux versions of our products inside Docker containers.",false
"Infrastructure as code",adopt,"Techniques",true,"Infrastructure should be provisioned through code rather than manually (except for ad-hoc testing)",false
"Automated code style settings",adopt,"Techniques",true,"Codebases should be formatted consistently. Automated code-style settings achieve this without fuss.",false
"Static code analysis (linters)",adopt,"Techniques",true,"Static code analysis is invaluable for automatically checking for problems in code. We use ESLint for JS and Roslyn-based analyzers for .NET. We also experimented with SonarQube but our implementation wasn't giving us confidence.",false
"Semantic Versioning",adopt,"Techniques",true,"We should use semver for all our versioning needs unless there's a compelling reason not to.",false
"Database Agnosticism",adopt,"Techniques",true,"We aim for feature parity between products that support different database engines.",false
"Feature Flags",adopt,"Techniques",true,"Feature Flags are a great technique for minimizing long-lived feature branches. Our recommendation is to focus on simplicity - if you find yourself writing substantial code to support Feature Flags, consider using a third-party solution.",false
"Continuous delivery",adopt,"Techniques",true,"Products should be ready for release at any time.",false
"Continuous Deployment",assess,"Techniques",true,"We'd like to evaluate technology that increases our deployment frequency, with a view to getting value into the hands of our users as quickly as possible.",false
"Build inside Docker containers",trial,"Techniques",true,"We should reduce build dependencies by building and testing our products inside containers.",false
"AI/ML",assess,"Techniques",true,"AI/ML are becoming commoditized. Off-the-shelf software is available for predictive modelling, text analysis, anomaly detection and much more.",false
"Automation/Low-code solutions",assess,"Techniques",true,"Remote is driving a digital transformation across industries. Low-code solutions, such as Power Apps, allow organizations to modernize these processes.",false
"Git Ops",trial,"Techniques",true,"The core idea of GitOps is having a Git repository that always contains declarative descriptions of the infrastructure currently desired in the production environment and an automated process to make the production environment match the described state in the repository. If you want to deploy a new application or update an existing one, you only need to update the repository - the automated process handles everything else. It’s like having cruise control for managing your applications in production. <a href='https://www.gitops.tech/'>Read more</a>",false
